i,type,db,fe,scaler,result,acc,f1,model,file,index
0,a_posteriori,meta,isomap,min_max_scaling,0.5454545454545454,0.5,0.4583333333333333,"MLP | {'batch_size': 1, 'activation': 'tanh', 'alpha': 1e-06, 'early_stopping': True, 'hidden_layer_sizes': '(64)', 'max_iter': 350, 'learning_rate_init': 0.1, 'solver': 'adam'}",a_posteriori_meta_isomap_min_max_scaling_0.csv,0
1,a_posteriori,meta,isomap,min_max_scaling,0.5909090909090909,0.3333333333333333,0.16666666666666666,"MLP | {'batch_size': 1, 'activation': 'relu', 'alpha': 0.1, 'early_stopping': True, 'hidden_layer_sizes': '(8, 16)', 'max_iter': 150, 'learning_rate_init': 0.1, 'solver': 'adam'}",a_posteriori_meta_isomap_min_max_scaling_1.csv,1
2,a_posteriori,meta,isomap,min_max_scaling,0.5,0.5,0.4622414622414623,"MLP | {'batch_size': 1, 'activation': 'tanh', 'alpha': 1e-05, 'early_stopping': True, 'hidden_layer_sizes': '(8, 16)', 'max_iter': 350, 'learning_rate_init': 0.1, 'solver': 'adam'}",a_posteriori_meta_isomap_min_max_scaling_2.csv,2
3,a_posteriori,meta,isomap,standard_scaling,0.5659090909090909,0.3888888888888889,0.3148148148148148,"MLP | {'batch_size': 1, 'activation': 'relu', 'alpha': 1e-06, 'early_stopping': True, 'hidden_layer_sizes': '(32, 16)', 'max_iter': 150, 'learning_rate_init': 0.0001, 'solver': 'adam'}",a_posteriori_meta_isomap_standard_scaling_0.csv,0
4,a_posteriori,meta,isomap,standard_scaling,0.525,0.3333333333333333,0.16666666666666666,"MLP | {'batch_size': 1, 'activation': 'relu', 'alpha': 0.1, 'early_stopping': True, 'hidden_layer_sizes': '(16, 16, 16, 8)', 'max_iter': 350, 'learning_rate_init': 0.1, 'solver': 'adam'}",a_posteriori_meta_isomap_standard_scaling_1.csv,1
5,a_posteriori,meta,isomap,standard_scaling,0.5681818181818181,0.3888888888888889,0.3235294117647059,"RandomForest | {'criterion': 'gini', 'n_estimators': 1, 'max_depth': 9, 'min_samples_split': 2, 'min_samples_leaf': 1}",a_posteriori_meta_isomap_standard_scaling_2.csv,2
6,a_posteriori,meta,isomap,unscaled,0.5704545454545454,0.2222222222222222,0.16944444444444443,"KNN | {'n_neighbors': 2, 'weights': 'uniform', 'algorithm': 'ball_tree'}",a_posteriori_meta_isomap_unscaled_0.csv,0
7,a_posteriori,meta,isomap,unscaled,0.5977272727272727,0.4444444444444444,0.4259259259259259,"MLP | {'batch_size': 1, 'activation': 'relu', 'alpha': 0.001, 'early_stopping': True, 'hidden_layer_sizes': '(8)', 'max_iter': 150, 'learning_rate_init': 0.1, 'solver': 'adam'}",a_posteriori_meta_isomap_unscaled_1.csv,1
8,a_posteriori,meta,isomap,unscaled,0.5477272727272727,0.3333333333333333,0.33488733488733485,"RandomForest | {'criterion': 'entropy', 'n_estimators': 1, 'max_depth': 2, 'min_samples_split': 4, 'min_samples_leaf': 2}",a_posteriori_meta_isomap_unscaled_2.csv,2
9,a_posteriori,meta,isomap,yeo_johnson_transformation,0.6272727272727272,0.4444444444444444,0.43333333333333335,"MLP | {'batch_size': 4, 'activation': 'relu', 'alpha': 0.1, 'early_stopping': True, 'hidden_layer_sizes': '(16)', 'max_iter': 350, 'learning_rate_init': 0.1, 'solver': 'adam'}",a_posteriori_meta_isomap_yeo_johnson_transformation_0.csv,0
10,a_posteriori,meta,isomap,yeo_johnson_transformation,0.6,0.2777777777777778,0.21388888888888888,"MLP | {'batch_size': 1, 'activation': 'relu', 'alpha': 1e-06, 'early_stopping': True, 'hidden_layer_sizes': '(8, 32)', 'max_iter': 350, 'learning_rate_init': 0.1, 'solver': 'adam'}",a_posteriori_meta_isomap_yeo_johnson_transformation_1.csv,1
