i,type,db,fe,scaler,result,acc,f1,model,file,index
0,NULL,priori,isomap,min_max_scaling,0.5451388888888888,0.1875,0.1724941724941725,"MLP | {'batch_size': 4, 'activation': 'tanh', 'alpha': 1e-05, 'early_stopping': True, 'hidden_layer_sizes': '(64, 32)', 'max_iter': 350, 'learning_rate_init': 1e-07, 'solver': 'adam'}",a_priori_isomap_min_max_scaling_0.csv,0
1,NULL,priori,isomap,min_max_scaling,0.5486111111111112,0.5,0.47380952380952385,"MLP | {'batch_size': 16, 'activation': 'relu', 'alpha': 1e-06, 'early_stopping': True, 'hidden_layer_sizes': '(32, 64)', 'max_iter': 150, 'learning_rate_init': 0.1, 'solver': 'adam'}",a_priori_isomap_min_max_scaling_1.csv,1
2,NULL,priori,isomap,min_max_scaling,0.5694444444444444,0.375,0.1818181818181818,"MLP | {'batch_size': 4, 'activation': 'relu', 'alpha': 1e-05, 'early_stopping': True, 'hidden_layer_sizes': '(8, 16)', 'max_iter': 350, 'learning_rate_init': 0.1, 'solver': 'adam'}",a_priori_isomap_min_max_scaling_2.csv,2
3,NULL,priori,isomap,standard_scaling,0.5451388888888888,0.1875,0.1574074074074074,"RandomForest | {'criterion': 'entropy', 'n_estimators': 50, 'max_depth': 6, 'min_samples_split': 2, 'min_samples_leaf': 1}",a_priori_isomap_standard_scaling_0.csv,0
4,NULL,priori,isomap,standard_scaling,0.5104166666666667,0.1875,0.10526315789473684,"MLP | {'batch_size': 4, 'activation': 'relu', 'alpha': 1e-05, 'early_stopping': True, 'hidden_layer_sizes': '(64, 32)', 'max_iter': 150, 'learning_rate_init': 0.1, 'solver': 'adam'}",a_priori_isomap_standard_scaling_1.csv,1
5,NULL,priori,isomap,standard_scaling,0.6493055555555556,0.4375,0.37566137566137575,"MLP | {'batch_size': 1, 'activation': 'tanh', 'alpha': 0.1, 'early_stopping': True, 'hidden_layer_sizes': '(8, 16)', 'max_iter': 350, 'learning_rate_init': 0.1, 'solver': 'adam'}",a_priori_isomap_standard_scaling_2.csv,2
6,NULL,priori,isomap,unscaled,0.5659722222222222,0.3125,0.2355889724310777,"MLP | {'batch_size': 4, 'activation': 'relu', 'alpha': 0.1, 'early_stopping': True, 'hidden_layer_sizes': '(64, 64, 32)', 'max_iter': 150, 'learning_rate_init': 0.1, 'solver': 'adam'}",a_priori_isomap_unscaled_0.csv,0
7,NULL,priori,isomap,unscaled,0.6006944444444444,0.5,0.4222222222222222,"LRegression | {'penalty': 'l2', 'C': 0.5, 'class_weight': 'balanced', 'solver': 'liblinear', 'max_iter': 150}",a_priori_isomap_unscaled_1.csv,1
8,NULL,priori,isomap,unscaled,0.5416666666666667,0.5,0.4707070707070707,"RandomForest | {'criterion': 'entropy', 'n_estimators': 50, 'max_depth': 3, 'min_samples_split': 2, 'min_samples_leaf': 1}",a_priori_isomap_unscaled_2.csv,2
9,NULL,priori,isomap,yeo_johnson_transformation,0.5138888888888888,0.375,0.37575757575757573,"MLP | {'batch_size': 16, 'activation': 'tanh', 'alpha': 1e-06, 'early_stopping': True, 'hidden_layer_sizes': '(64, 32)', 'max_iter': 350, 'learning_rate_init': 0.0001, 'solver': 'adam'}",a_priori_isomap_yeo_johnson_transformation_0.csv,0
10,NULL,priori,isomap,yeo_johnson_transformation,0.5763888888888888,0.1875,0.15584415584415587,"MLP | {'batch_size': 16, 'activation': 'tanh', 'alpha': 0.001, 'early_stopping': True, 'hidden_layer_sizes': '(8, 16)', 'max_iter': 150, 'learning_rate_init': 0.1, 'solver': 'adam'}",a_priori_isomap_yeo_johnson_transformation_1.csv,1
11,NULL,priori,isomap,yeo_johnson_transformation,0.5694444444444444,0.1875,0.16931216931216933,"MLP | {'batch_size': 1, 'activation': 'tanh', 'alpha': 1e-05, 'early_stopping': True, 'hidden_layer_sizes': '(64)', 'max_iter': 350, 'learning_rate_init': 0.1, 'solver': 'adam'}",a_priori_isomap_yeo_johnson_transformation_2.csv,2
12,NULL,priori,pca,min_max_scaling,0.5659722222222223,0.3125,0.17543859649122806,"MLP | {'batch_size': 1, 'activation': 'tanh', 'alpha': 0.1, 'early_stopping': True, 'hidden_layer_sizes': '(64, 64, 32)', 'max_iter': 150, 'learning_rate_init': 0.1, 'solver': 'adam'}",a_priori_pca_min_max_scaling_0.csv,0
13,NULL,priori,pca,min_max_scaling,0.4826388888888889,0.5625,0.5627705627705629,"MLP | {'batch_size': 1, 'activation': 'tanh', 'alpha': 0.001, 'early_stopping': True, 'hidden_layer_sizes': '(8, 16)', 'max_iter': 350, 'learning_rate_init': 1e-07, 'solver': 'adam'}",a_priori_pca_min_max_scaling_1.csv,1
14,NULL,priori,pca,min_max_scaling,0.5659722222222222,0.3125,0.2564102564102564,"MLP | {'batch_size': 1, 'activation': 'tanh', 'alpha': 0.1, 'early_stopping': True, 'hidden_layer_sizes': '(16)', 'max_iter': 350, 'learning_rate_init': 0.1, 'solver': 'adam'}",a_priori_pca_min_max_scaling_2.csv,2
15,NULL,priori,pca,standard_scaling,0.6076388888888888,0.5625,0.4981481481481482,"MLP | {'batch_size': 16, 'activation': 'relu', 'alpha': 0.001, 'early_stopping': True, 'hidden_layer_sizes': '(16)', 'max_iter': 350, 'learning_rate_init': 0.1, 'solver': 'adam'}",a_priori_pca_standard_scaling_0.csv,0
16,NULL,priori,pca,standard_scaling,0.4618055555555556,0.125,0.07407407407407407,"MLP | {'batch_size': 4, 'activation': 'relu', 'alpha': 1e-06, 'early_stopping': True, 'hidden_layer_sizes': '(64)', 'max_iter': 150, 'learning_rate_init': 0.1, 'solver': 'adam'}",a_priori_pca_standard_scaling_1.csv,1
17,NULL,priori,pca,standard_scaling,0.5729166666666666,0.375,0.31168831168831174,"RandomForest | {'criterion': 'gini', 'n_estimators': 50, 'max_depth': 6, 'min_samples_split': 0.5, 'min_samples_leaf': 2}",a_priori_pca_standard_scaling_2.csv,2
18,NULL,priori,pca,unscaled,0.5416666666666667,0.5625,0.42735042735042733,"MLP | {'batch_size': 16, 'activation': 'relu', 'alpha': 1e-06, 'early_stopping': True, 'hidden_layer_sizes': '(16, 16, 16, 8)', 'max_iter': 150, 'learning_rate_init': 0.1, 'solver': 'adam'}",a_priori_pca_unscaled_0.csv,0
19,NULL,priori,pca,unscaled,0.5208333333333334,0.25,0.21666666666666667,"RandomForest | {'criterion': 'entropy', 'n_estimators': 50, 'max_depth': 9, 'min_samples_split': 4, 'min_samples_leaf': 1}",a_priori_pca_unscaled_1.csv,1
20,NULL,priori,pca,unscaled,0.5729166666666667,0.3125,0.22727272727272727,"RandomForest | {'criterion': 'entropy', 'n_estimators': 50, 'max_depth': 2, 'min_samples_split': 0.5, 'min_samples_leaf': 1}",a_priori_pca_unscaled_2.csv,2
21,NULL,priori,pca,yeo_johnson_transformation,0.5173611111111112,0.5625,0.5396825396825397,"MLP | {'batch_size': 1, 'activation': 'tanh', 'alpha': 1e-05, 'early_stopping': True, 'hidden_layer_sizes': '(32, 32, 8)', 'max_iter': 350, 'learning_rate_init': 0.1, 'solver': 'adam'}",a_priori_pca_yeo_johnson_transformation_0.csv,0
22,NULL,priori,pca,yeo_johnson_transformation,0.5208333333333333,0.375,0.25925925925925924,"MLP | {'batch_size': 4, 'activation': 'relu', 'alpha': 1e-06, 'early_stopping': True, 'hidden_layer_sizes': '(64, 64, 32)', 'max_iter': 350, 'learning_rate_init': 0.1, 'solver': 'adam'}",a_priori_pca_yeo_johnson_transformation_1.csv,1
23,NULL,priori,pca,yeo_johnson_transformation,0.5729166666666666,0.3125,0.17543859649122806,"SVM | {'C': 0.001, 'kernel': 'linear'}",a_priori_pca_yeo_johnson_transformation_2.csv,2
24,NULL,priori,rfe,min_max_scaling,0.5277777777777778,0.375,0.2901960784313726,"MLP | {'batch_size': 4, 'activation': 'tanh', 'alpha': 0.1, 'early_stopping': True, 'hidden_layer_sizes': '(64)', 'max_iter': 350, 'learning_rate_init': 0.0001, 'solver': 'adam'}",a_priori_rfe_min_max_scaling_0.csv,0
25,NULL,priori,rfe,min_max_scaling,0.6111111111111112,0.4375,0.4276094276094276,"LRegression | {'penalty': 'none', 'C': 1.0, 'class_weight': 'balanced', 'solver': 'lbfgs', 'max_iter': 150}",a_priori_rfe_min_max_scaling_1.csv,1
26,NULL,priori,rfe,min_max_scaling,0.6388888888888888,0.25,0.2261904761904762,"RandomForest | {'criterion': 'gini', 'n_estimators': 10, 'max_depth': 6, 'min_samples_split': 3, 'min_samples_leaf': 3}",a_priori_rfe_min_max_scaling_2.csv,2
27,NULL,priori,rfe,standard_scaling,0.6944444444444444,0.625,0.5726495726495727,"MLP | {'batch_size': 16, 'activation': 'tanh', 'alpha': 1e-06, 'early_stopping': True, 'hidden_layer_sizes': '(16)', 'max_iter': 150, 'learning_rate_init': 0.1, 'solver': 'adam'}",a_priori_rfe_standard_scaling_0.csv,0
